Geography,Gender,CreditScore_Band,Age_Band,Tenure_Band,Balance_Band,Salary_Band,Active_Status,CrCard_Status,Products_Label,Churn_Status
France,Male,Excellent_Credit,Age_18_to_30,Loyal,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Retained
Germany,Male,Very_Good_Credit,Age_31_to_45,Established,Balance_0_to_100K,Upper_Mid_Income,Active,Has_CrCard,Products_2,Retained
Germany,Male,Fair_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,Low_Income,Inactive,Has_CrCard,Products_1,Churned
France,Female,Poor_Credit,Age_31_to_45,Loyal,Balance_0_to_100K,High_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Excellent_Credit,Age_31_to_45,Loyal,Zero_Balance,Low_Income,Inactive,Has_CrCard,Products_2,Retained
Spain,Female,Poor_Credit,Age_31_to_45,Established,Balance_Above_100K,Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Fair_Credit,Age_31_to_45,Established,Zero_Balance,Low_Income,Inactive,Has_CrCard,Products_2,Retained
Germany,Male,Good_Credit,Age_31_to_45,Established,Balance_0_to_100K,High_Income,Inactive,No_CrCard,Products_2,Retained
Germany,Female,Fair_Credit,Age_18_to_30,Established,Balance_Above_100K,Low_Income,Inactive,Has_CrCard,Products_2,Retained
Spain,Female,Excellent_Credit,Age_18_to_30,Loyal,Balance_Above_100K,Mid_Income,Active,No_CrCard,Products_1,Retained
Spain,Female,Poor_Credit,Age_18_to_30,Loyal,Zero_Balance,High_Income,Inactive,No_CrCard,Products_2,Retained
France,Male,Good_Credit,Age_46_to_60,Loyal,Zero_Balance,Mid_Income,Active,Has_CrCard,Products_2,Retained
Germany,Female,Poor_Credit,Age_31_to_45,New_Customer,Balance_0_to_100K,Mid_Income,Active,No_CrCard,Products_1,Retained
France,Male,Poor_Credit,Age_31_to_45,Established,Balance_Above_100K,Mid_Income,Inactive,No_CrCard,Products_2,Retained
Germany,Male,Poor_Credit,Age_31_to_45,Established,Balance_Above_100K,Upper_Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Male,Poor_Credit,Age_31_to_45,Loyal,Zero_Balance,Mid_Income,Active,No_CrCard,Products_1,Churned
Spain,Male,Fair_Credit,Age_31_to_45,New_Customer,Balance_0_to_100K,Mid_Income,Inactive,Has_CrCard,Products_2,Retained
France,Female,Good_Credit,Age_31_to_45,New_Customer,Zero_Balance,Mid_Income,Inactive,Has_CrCard,Products_2,Retained
France,Male,Very_Good_Credit,Age_31_to_45,Loyal,Zero_Balance,Low_Income,Inactive,No_CrCard,Products_2,Retained
France,Male,Fair_Credit,Age_31_to_45,New_Customer,Zero_Balance,Low_Income,Active,No_CrCard,Products_2,Retained
Germany,Male,Fair_Credit,Age_18_to_30,Established,Balance_Above_100K,Upper_Mid_Income,Active,No_CrCard,Products_2,Retained
Germany,Female,Fair_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Low_Income,Inactive,Has_CrCard,Products_3,Churned
Spain,Female,Good_Credit,Age_31_to_45,New_Customer,Balance_0_to_100K,Upper_Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Male,Good_Credit,Age_46_to_60,Loyal,Zero_Balance,High_Income,Active,Has_CrCard,Products_2,Retained
France,Female,Fair_Credit,Age_18_to_30,Established,Zero_Balance,High_Income,Inactive,Has_CrCard,Products_3,Churned
Germany,Female,Fair_Credit,Age_18_to_30,Loyal,Balance_Above_100K,Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Male,Poor_Credit,Age_31_to_45,Established,Zero_Balance,Mid_Income,Inactive,Has_CrCard,Products_2,Retained
France,Female,Fair_Credit,Age_31_to_45,New_Customer,Zero_Balance,Low_Income,Inactive,Has_CrCard,Products_2,Retained
France,Female,Fair_Credit,Age_18_to_30,Established,Balance_Above_100K,High_Income,Active,No_CrCard,Products_1,Retained
Germany,Male,Poor_Credit,Age_46_to_60,Loyal,Balance_Above_100K,Low_Income,Inactive,Has_CrCard,Products_1,Churned
France,Male,Good_Credit,Age_18_to_30,New_Customer,Zero_Balance,Low_Income,Inactive,No_CrCard,Products_2,Retained
Spain,Female,Fair_Credit,Age_31_to_45,Established,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_2,Retained
France,Male,Good_Credit,Age_18_to_30,Loyal,Balance_Above_100K,High_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Fair_Credit,Age_31_to_45,Established,Balance_Above_100K,Upper_Mid_Income,Inactive,No_CrCard,Products_1,Retained
Spain,Female,Fair_Credit,Age_18_to_30,New_Customer,Balance_0_to_100K,Upper_Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Male,Fair_Credit,Age_31_to_45,Established,Balance_Above_100K,High_Income,Inactive,No_CrCard,Products_1,Retained
Germany,Male,Fair_Credit,Age_31_to_45,New_Customer,Balance_0_to_100K,High_Income,Active,Has_CrCard,Products_2,Retained
France,Female,Fair_Credit,Age_18_to_30,Loyal,Zero_Balance,Upper_Mid_Income,Active,Has_CrCard,Products_2,Retained
Germany,Female,Poor_Credit,Age_31_to_45,Loyal,Balance_0_to_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Retained
Spain,Male,Very_Good_Credit,Age_61_plus,Loyal,Balance_Above_100K,Mid_Income,Active,No_CrCard,Products_1,Retained
France,Female,Fair_Credit,Age_46_to_60,Loyal,Balance_Above_100K,Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Male,Fair_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,Mid_Income,Active,No_CrCard,Products_1,Retained
France,Male,Good_Credit,Age_31_to_45,Established,Zero_Balance,Low_Income,Active,Has_CrCard,Products_2,Retained
Germany,Male,Very_Good_Credit,Age_61_plus,Loyal,Balance_Above_100K,Mid_Income,Active,Has_CrCard,Products_2,Retained
France,Female,Very_Good_Credit,Age_31_to_45,Established,Balance_Above_100K,Upper_Mid_Income,Active,No_CrCard,Products_1,Retained
Germany,Female,Poor_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Low_Income,Inactive,Has_CrCard,Products_1,Churned
Spain,Female,Good_Credit,Age_46_to_60,Loyal,Balance_Above_100K,Upper_Mid_Income,Active,No_CrCard,Products_3,Churned
Germany,Female,Poor_Credit,Age_31_to_45,Established,Balance_Above_100K,Upper_Mid_Income,Active,Has_CrCard,Products_3,Churned
France,Female,Poor_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Fair_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Retained
Germany,Female,Poor_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Retained
France,Female,Poor_Credit,Age_46_to_60,Established,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Retained
Germany,Female,Excellent_Credit,Age_31_to_45,Established,Balance_Above_100K,Low_Income,Inactive,No_CrCard,Products_1,Retained
Germany,Male,Very_Good_Credit,Age_46_to_60,New_Customer,Balance_Above_100K,Mid_Income,Active,Has_CrCard,Products_2,Retained
Germany,Male,Very_Good_Credit,Age_46_to_60,Loyal,Balance_0_to_100K,Mid_Income,Active,Has_CrCard,Products_2,Retained
France,Male,Fair_Credit,Age_18_to_30,New_Customer,Zero_Balance,Mid_Income,Inactive,Has_CrCard,Products_2,Retained
Spain,Male,Good_Credit,Age_18_to_30,Established,Balance_Above_100K,Low_Income,Inactive,No_CrCard,Products_1,Retained
France,Female,Good_Credit,Age_31_to_45,Loyal,Zero_Balance,Mid_Income,Active,Has_CrCard,Products_2,Retained
Germany,Female,Fair_Credit,Age_46_to_60,New_Customer,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Churned
France,Male,Poor_Credit,Age_31_to_45,Established,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Retained
Germany,Female,Fair_Credit,Age_31_to_45,Loyal,Balance_0_to_100K,Low_Income,Active,No_CrCard,Products_2,Retained
Germany,Female,Poor_Credit,Age_18_to_30,New_Customer,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Retained
Germany,Male,Very_Good_Credit,Age_31_to_45,Loyal,Balance_Above_100K,High_Income,Inactive,Has_CrCard,Products_2,Retained
France,Male,Poor_Credit,Age_31_to_45,Established,Balance_0_to_100K,Mid_Income,Active,No_CrCard,Products_2,Retained
Spain,Male,Fair_Credit,Age_31_to_45,Established,Balance_Above_100K,Upper_Mid_Income,Inactive,No_CrCard,Products_3,Churned
France,Male,Fair_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Upper_Mid_Income,Inactive,No_CrCard,Products_1,Retained
Germany,Male,Fair_Credit,Age_31_to_45,Established,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Poor_Credit,Age_31_to_45,Loyal,Zero_Balance,Upper_Mid_Income,Inactive,Has_CrCard,Products_2,Retained
France,Female,Fair_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Male,Good_Credit,Age_18_to_30,Established,Balance_Above_100K,Mid_Income,Inactive,Has_CrCard,Products_1,Churned
Spain,Male,Good_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Retained
Germany,Male,Fair_Credit,Age_46_to_60,Loyal,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Retained
France,Male,Fair_Credit,Age_31_to_45,Loyal,Zero_Balance,Upper_Mid_Income,Active,Has_CrCard,Products_2,Retained
France,Female,Poor_Credit,Age_31_to_45,Loyal,Zero_Balance,Low_Income,Active,Has_CrCard,Products_2,Retained
Germany,Male,Poor_Credit,Age_46_to_60,Loyal,Balance_Above_100K,High_Income,Inactive,Has_CrCard,Products_1,Churned
France,Male,Fair_Credit,Age_18_to_30,Loyal,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Poor_Credit,Age_46_to_60,Loyal,Zero_Balance,High_Income,Active,Has_CrCard,Products_3,Churned
France,Male,Good_Credit,Age_31_to_45,Loyal,Balance_Above_100K,High_Income,Active,Has_CrCard,Products_2,Retained
Spain,Female,Good_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Upper_Mid_Income,Inactive,No_CrCard,Products_1,Churned
France,Female,Poor_Credit,Age_18_to_30,Loyal,Zero_Balance,Low_Income,Inactive,No_CrCard,Products_2,Retained
France,Male,Good_Credit,Age_31_to_45,New_Customer,Zero_Balance,High_Income,Active,Has_CrCard,Products_1,Retained
Spain,Male,Good_Credit,Age_31_to_45,Loyal,Zero_Balance,Upper_Mid_Income,Active,No_CrCard,Products_2,Retained
France,Male,Poor_Credit,Age_18_to_30,New_Customer,Balance_Above_100K,High_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Poor_Credit,Age_31_to_45,Established,Zero_Balance,High_Income,Inactive,Has_CrCard,Products_2,Churned
France,Male,Fair_Credit,Age_31_to_45,Loyal,Zero_Balance,Mid_Income,Inactive,No_CrCard,Products_2,Retained
France,Male,Good_Credit,Age_31_to_45,Loyal,Zero_Balance,High_Income,Inactive,Has_CrCard,Products_1,Retained
Germany,Male,Poor_Credit,Age_61_plus,New_Customer,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Retained
Germany,Male,Fair_Credit,Age_46_to_60,Loyal,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_2,Retained
Germany,Male,Good_Credit,Age_18_to_30,Established,Balance_Above_100K,High_Income,Active,Has_CrCard,Products_2,Retained
Germany,Female,Good_Credit,Age_46_to_60,Loyal,Balance_Above_100K,Upper_Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Male,Fair_Credit,Age_31_to_45,Loyal,Zero_Balance,Upper_Mid_Income,Active,No_CrCard,Products_2,Retained
France,Male,Fair_Credit,Age_31_to_45,Loyal,Zero_Balance,Low_Income,Active,Has_CrCard,Products_2,Retained
France,Male,Good_Credit,Age_18_to_30,New_Customer,Zero_Balance,High_Income,Active,Has_CrCard,Products_1,Retained
Germany,Female,Fair_Credit,Age_18_to_30,Loyal,Balance_Above_100K,Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Male,Fair_Credit,Age_18_to_30,Established,Zero_Balance,High_Income,Active,Has_CrCard,Products_2,Retained
Germany,Female,Fair_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Churned
France,Female,Good_Credit,Age_31_to_45,Established,Zero_Balance,Mid_Income,Active,Has_CrCard,Products_2,Retained
Germany,Male,Good_Credit,Age_18_to_30,Loyal,Balance_0_to_100K,High_Income,Inactive,Has_CrCard,Products_1,Retained
Germany,Female,Fair_Credit,Age_61_plus,Loyal,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_2,Retained
France,Male,Poor_Credit,Age_18_to_30,New_Customer,Zero_Balance,High_Income,Inactive,No_CrCard,Products_2,Retained
France,Female,Poor_Credit,Age_18_to_30,New_Customer,Zero_Balance,High_Income,Active,Has_CrCard,Products_1,Retained
Spain,Male,Excellent_Credit,Age_46_to_60,Established,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_2,Churned
France,Male,Good_Credit,Age_31_to_45,Loyal,Zero_Balance,Low_Income,Inactive,No_CrCard,Products_2,Retained
Germany,Female,Very_Good_Credit,Age_61_plus,Loyal,Balance_Above_100K,High_Income,Inactive,Has_CrCard,Products_1,Churned
Spain,Female,Fair_Credit,Age_61_plus,Loyal,Zero_Balance,Upper_Mid_Income,Active,Has_CrCard,Products_2,Retained
Germany,Male,Good_Credit,Age_31_to_45,Loyal,Balance_Above_100K,High_Income,Active,No_CrCard,Products_2,Retained
Spain,Male,Very_Good_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Upper_Mid_Income,Active,Has_CrCard,Products_2,Retained
Germany,Female,Good_Credit,Age_61_plus,Loyal,Balance_0_to_100K,High_Income,Active,Has_CrCard,Products_2,Churned
France,Male,Fair_Credit,Age_18_to_30,Loyal,Zero_Balance,Mid_Income,Inactive,No_CrCard,Products_2,Retained
France,Female,Fair_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Mid_Income,Inactive,No_CrCard,Products_2,Retained
Germany,Female,Excellent_Credit,Age_31_to_45,Established,Balance_Above_100K,Upper_Mid_Income,Active,No_CrCard,Products_2,Retained
France,Male,Fair_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Mid_Income,Inactive,No_CrCard,Products_1,Churned
Germany,Female,Poor_Credit,Age_31_to_45,Loyal,Balance_Above_100K,High_Income,Inactive,Has_CrCard,Products_1,Churned
France,Male,Excellent_Credit,Age_46_to_60,Loyal,Balance_Above_100K,High_Income,Inactive,Has_CrCard,Products_3,Churned
Germany,Male,Poor_Credit,Age_31_to_45,New_Customer,Balance_0_to_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Retained
Spain,Male,Good_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,Mid_Income,Inactive,Has_CrCard,Products_1,Churned
Germany,Male,Poor_Credit,Age_31_to_45,Established,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Retained
Spain,Female,Poor_Credit,Age_61_plus,Established,Zero_Balance,Upper_Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Poor_Credit,Age_31_to_45,New_Customer,Zero_Balance,High_Income,Active,No_CrCard,Products_2,Retained
Germany,Male,Fair_Credit,Age_18_to_30,Established,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Retained
France,Male,Fair_Credit,Age_46_to_60,Loyal,Balance_0_to_100K,High_Income,Inactive,No_CrCard,Products_1,Churned
France,Female,Poor_Credit,Age_18_to_30,Loyal,Balance_0_to_100K,Low_Income,Active,No_CrCard,Products_1,Retained
France,Female,Good_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Retained
Germany,Male,Fair_Credit,Age_18_to_30,New_Customer,Balance_Above_100K,Upper_Mid_Income,Active,No_CrCard,Products_2,Retained
Germany,Male,Poor_Credit,Age_18_to_30,Loyal,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Retained
France,Male,Very_Good_Credit,Age_31_to_45,Loyal,Balance_Above_100K,High_Income,Inactive,Has_CrCard,Products_1,Retained
France,Male,Very_Good_Credit,Age_46_to_60,Loyal,Balance_Above_100K,Low_Income,Inactive,Has_CrCard,Products_2,Retained
Spain,Male,Poor_Credit,Age_18_to_30,Loyal,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Retained
France,Male,Very_Good_Credit,Age_46_to_60,Established,Balance_Above_100K,High_Income,Active,Has_CrCard,Products_1,Churned
Germany,Female,Good_Credit,Age_31_to_45,Loyal,Balance_0_to_100K,Upper_Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Fair_Credit,Age_31_to_45,New_Customer,Zero_Balance,Mid_Income,Active,Has_CrCard,Products_2,Retained
France,Female,Good_Credit,Age_46_to_60,Established,Zero_Balance,Mid_Income,Inactive,Has_CrCard,Products_1,Churned
Spain,Male,Fair_Credit,Age_31_to_45,New_Customer,Zero_Balance,Mid_Income,Inactive,Has_CrCard,Products_1,Churned
France,Male,Good_Credit,Age_31_to_45,Established,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_2,Retained
France,Male,Fair_Credit,Age_31_to_45,Loyal,Balance_0_to_100K,Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Fair_Credit,Age_31_to_45,New_Customer,Balance_0_to_100K,Upper_Mid_Income,Active,Has_CrCard,Products_2,Retained
France,Female,Fair_Credit,Age_18_to_30,Loyal,Zero_Balance,Upper_Mid_Income,Active,Has_CrCard,Products_2,Retained
Spain,Female,Good_Credit,Age_31_to_45,Loyal,Zero_Balance,Mid_Income,Active,Has_CrCard,Products_2,Retained
France,Male,Fair_Credit,Age_18_to_30,New_Customer,Zero_Balance,Mid_Income,Active,Has_CrCard,Products_3,Retained
France,Female,Very_Good_Credit,Age_46_to_60,Loyal,Balance_Above_100K,High_Income,Inactive,Has_CrCard,Products_1,Churned
Germany,Female,Good_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_2,Retained
Germany,Male,Good_Credit,Age_31_to_45,New_Customer,Balance_0_to_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_2,Retained
France,Male,Good_Credit,Age_18_to_30,Established,Zero_Balance,High_Income,Inactive,Has_CrCard,Products_2,Retained
Spain,Female,Poor_Credit,Age_18_to_30,Loyal,Zero_Balance,Low_Income,Active,Has_CrCard,Products_2,Retained
France,Male,Fair_Credit,Age_31_to_45,Established,Zero_Balance,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Retained
France,Female,Good_Credit,Age_31_to_45,Established,Balance_0_to_100K,Mid_Income,Inactive,Has_CrCard,Products_2,Retained
France,Female,Fair_Credit,Age_31_to_45,New_Customer,Balance_0_to_100K,High_Income,Active,Has_CrCard,Products_1,Retained
Spain,Female,Good_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_2,Retained
Spain,Female,Poor_Credit,Age_31_to_45,Established,Zero_Balance,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Retained
Germany,Female,Fair_Credit,Age_46_to_60,Established,Balance_Above_100K,Low_Income,Active,No_CrCard,Products_1,Retained
France,Male,Fair_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_2,Retained
France,Male,Fair_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Good_Credit,Age_31_to_45,Established,Balance_Above_100K,Low_Income,Inactive,Has_CrCard,Products_1,Retained
France,Male,Good_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Upper_Mid_Income,Active,No_CrCard,Products_2,Retained
Spain,Male,Poor_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Mid_Income,Inactive,No_CrCard,Products_1,Retained
Germany,Male,Poor_Credit,Age_31_to_45,Loyal,Balance_0_to_100K,High_Income,Active,Has_CrCard,Products_2,Retained
Spain,Male,Poor_Credit,Age_46_to_60,New_Customer,Balance_0_to_100K,Low_Income,Active,No_CrCard,Products_2,Retained
France,Female,Fair_Credit,Age_31_to_45,New_Customer,Zero_Balance,High_Income,Inactive,No_CrCard,Products_2,Retained
France,Male,Fair_Credit,Age_18_to_30,Established,Zero_Balance,Mid_Income,Active,Has_CrCard,Products_1,Retained
Spain,Male,Good_Credit,Age_31_to_45,Loyal,Zero_Balance,Mid_Income,Inactive,Has_CrCard,Products_1,Retained
France,Male,Excellent_Credit,Age_18_to_30,Loyal,Balance_Above_100K,Low_Income,Inactive,No_CrCard,Products_1,Retained
Spain,Male,Fair_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_2,Retained
France,Male,Good_Credit,Age_46_to_60,Loyal,Zero_Balance,Mid_Income,Active,Has_CrCard,Products_2,Retained
Germany,Female,Poor_Credit,Age_46_to_60,Loyal,Balance_Above_100K,Mid_Income,Active,No_CrCard,Products_1,Retained
Spain,Female,Excellent_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,High_Income,Inactive,No_CrCard,Products_2,Retained
Germany,Female,Poor_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Retained
Spain,Male,Poor_Credit,Age_31_to_45,Established,Zero_Balance,Low_Income,Inactive,Has_CrCard,Products_2,Retained
France,Male,Excellent_Credit,Age_31_to_45,Established,Zero_Balance,Mid_Income,Inactive,Has_CrCard,Products_2,Retained
Spain,Male,Poor_Credit,Age_46_to_60,New_Customer,Zero_Balance,Upper_Mid_Income,Active,Has_CrCard,Products_1,Churned
Germany,Male,Fair_Credit,Age_31_to_45,Loyal,Balance_0_to_100K,High_Income,Active,Has_CrCard,Products_2,Retained
France,Male,Fair_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,High_Income,Active,No_CrCard,Products_1,Retained
Germany,Male,Fair_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Churned
Germany,Male,Poor_Credit,Age_31_to_45,Established,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_2,Retained
Spain,Male,Poor_Credit,Age_31_to_45,Loyal,Balance_0_to_100K,Mid_Income,Inactive,Has_CrCard,Products_2,Churned
France,Female,Excellent_Credit,Age_31_to_45,Established,Zero_Balance,Low_Income,Active,Has_CrCard,Products_2,Retained
France,Male,Poor_Credit,Age_31_to_45,Loyal,Zero_Balance,Low_Income,Inactive,No_CrCard,Products_1,Retained
France,Female,Very_Good_Credit,Age_31_to_45,Established,Balance_0_to_100K,Upper_Mid_Income,Active,No_CrCard,Products_1,Retained
France,Female,Fair_Credit,Age_46_to_60,Established,Zero_Balance,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Churned
France,Male,Fair_Credit,Age_31_to_45,Loyal,Zero_Balance,Mid_Income,Active,Has_CrCard,Products_2,Retained
France,Male,Poor_Credit,Age_46_to_60,Established,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Churned
France,Male,Very_Good_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,Mid_Income,Inactive,No_CrCard,Products_1,Retained
Spain,Female,Good_Credit,Age_61_plus,Established,Zero_Balance,Low_Income,Active,Has_CrCard,Products_2,Retained
Germany,Female,Poor_Credit,Age_31_to_45,Established,Balance_Above_100K,Low_Income,Inactive,Has_CrCard,Products_1,Churned
Spain,Male,Poor_Credit,Age_46_to_60,Established,Zero_Balance,Low_Income,Active,No_CrCard,Products_2,Retained
France,Male,Fair_Credit,Age_18_to_30,Established,Zero_Balance,High_Income,Inactive,No_CrCard,Products_2,Retained
Spain,Male,Poor_Credit,Age_31_to_45,Established,Zero_Balance,Mid_Income,Inactive,Has_CrCard,Products_2,Retained
France,Male,Good_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Low_Income,Inactive,Has_CrCard,Products_1,Retained
France,Female,Poor_Credit,Age_18_to_30,Loyal,Zero_Balance,Mid_Income,Inactive,Has_CrCard,Products_2,Retained
Germany,Male,Fair_Credit,Age_31_to_45,Loyal,Balance_Above_100K,High_Income,Inactive,No_CrCard,Products_1,Retained
France,Female,Very_Good_Credit,Age_31_to_45,Loyal,Zero_Balance,Low_Income,Inactive,Has_CrCard,Products_2,Retained
Germany,Male,Good_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Low_Income,Active,Has_CrCard,Products_1,Retained
France,Male,Good_Credit,Age_18_to_30,Loyal,Balance_0_to_100K,High_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Good_Credit,Age_18_to_30,Loyal,Balance_Above_100K,Upper_Mid_Income,Active,Has_CrCard,Products_1,Retained
Spain,Female,Poor_Credit,Age_18_to_30,New_Customer,Zero_Balance,Low_Income,Active,No_CrCard,Products_1,Retained
Spain,Male,Poor_Credit,Age_31_to_45,Loyal,Balance_0_to_100K,Mid_Income,Inactive,Has_CrCard,Products_2,Churned
France,Male,Poor_Credit,Age_18_to_30,Loyal,Zero_Balance,Mid_Income,Inactive,Has_CrCard,Products_2,Retained
France,Female,Good_Credit,Age_46_to_60,New_Customer,Zero_Balance,Mid_Income,Active,No_CrCard,Products_2,Retained
Spain,Male,Good_Credit,Age_31_to_45,New_Customer,Balance_0_to_100K,Low_Income,Inactive,Has_CrCard,Products_2,Retained
Spain,Male,Poor_Credit,Age_46_to_60,Established,Balance_0_to_100K,High_Income,Inactive,Has_CrCard,Products_4,Churned
Germany,Female,Fair_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,Mid_Income,Active,Has_CrCard,Products_1,Retained
Germany,Male,Excellent_Credit,Age_31_to_45,Loyal,Balance_0_to_100K,High_Income,Inactive,Has_CrCard,Products_1,Retained
Spain,Female,Poor_Credit,Age_31_to_45,Loyal,Balance_Above_100K,High_Income,Inactive,Has_CrCard,Products_1,Retained
Spain,Female,Fair_Credit,Age_31_to_45,Loyal,Balance_Above_100K,Mid_Income,Active,Has_CrCard,Products_1,Retained
Spain,Male,Fair_Credit,Age_61_plus,Established,Balance_Above_100K,Upper_Mid_Income,Active,Has_CrCard,Products_2,Retained
Spain,Female,Poor_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,High_Income,Inactive,Has_CrCard,Products_1,Retained
Germany,Female,Very_Good_Credit,Age_46_to_60,Loyal,Balance_Above_100K,Upper_Mid_Income,Inactive,Has_CrCard,Products_1,Churned
Germany,Female,Good_Credit,Age_31_to_45,Loyal,Balance_0_to_100K,High_Income,Inactive,Has_CrCard,Products_2,Churned
Germany,Female,Good_Credit,Age_31_to_45,New_Customer,Balance_Above_100K,Upper_Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Male,Poor_Credit,Age_31_to_45,Established,Zero_Balance,Low_Income,Active,Has_CrCard,Products_2,Retained
France,Female,Poor_Credit,Age_31_to_45,Loyal,Balance_0_to_100K,Mid_Income,Active,Has_CrCard,Products_1,Retained
France,Female,Fair_Credit,Age_18_to_30,Established,Zero_Balance,High_Income,Active,No_CrCard,Products_2,Retained
Spain,Male,Fair_Credit,Age_31_to_45,Established,Zero_Balance,Upper_Mid_Income,Inactive,Has_CrCard,Products_2,Retained
France,Female,Poor_Credit,Age_31_to_45,Loyal,Zero_Balance,Mid_Income,Inactive,Has_CrCard,Products_2,Retained
Germany,Female,Good_Credit,Age_18_to_30,New_Customer,Balance_0_to_100K,Mid_Income,Inactive,Has_CrCard,Products_1,Retained
